Site.ID,Location,Lat,Long,Valid_from,AdjustedLat,AdjustedLong
13257,NOR,62.984759,8.271876,9/20/2007 2:00:00 AM,63.15,7.1
11010,NOR,65.825333,12.246366,9/25/2007 2:00:00 AM,65.825333,11.496366
10384,NOR,63.635042,10.798394,9/25/2007 2:00:00 AM,63.735042,9.498394
12820,NOR,63.638529,10.806691,9/25/2007 2:00:00 AM,63.738529,9.506691
11977,NOR,59.33483,5.803763,9/26/2007 2:00:00 AM,59.23483,5.053763
12787,NOR,63.55224,9.43711,9/27/2007 2:00:00 AM,63.67724,8.23711
26995,NOR,64.128084,10.039303,10/22/2007 2:00:00 AM,64.128084,9.289303
13793,NOR,69.468041,17.5912,10/26/2007 2:00:00 AM,70.068041,17.5912
11145,NOR,66.778613,13.15654,10/26/2007 2:00:00 AM,66.778613,12.40654
11146,NOR,66.792422,13.110007,10/26/2007 2:00:00 AM,66.792422,12.360007
11276,NOR,67.219545,15.361038,11/2/2007 1:00:00 AM,67.219545,14.111038
10983,NOR,66.01622,12.380211,11/2/2007 1:00:00 AM,66.01622,11.630211
11270,NOR,67.241847,15.412336,11/2/2007 1:00:00 AM,67.241847,14.162336
11299,NOR,68.416071,15.859887,11/2/2007 1:00:00 AM,68.566071,15.109887
12182,NOR,60.464636,5.738721,11/16/2007 1:00:00 AM,60.55,4.45
11123,NOR,67.118119,13.945058,11/26/2007 1:00:00 AM,67.118119,13.195058
13909,NOR,64.620775,11.232927,11/26/2007 1:00:00 AM,64.620775,10.482927
11415,NOR,68.866455,15.295751,11/26/2007 1:00:00 AM,69.616455,14.645751
11941,NOR,58.9322,5.990592,11/28/2007 1:00:00 AM,58.9322,5.240592
10033,NOR,59.251462,5.399189,11/28/2007 1:00:00 AM,59.251462,4.649189
11935,NOR,59.191784,5.985293,11/28/2007 1:00:00 AM,59.191784,5.085293
13631,NOR,59.307176,5.739572,11/28/2007 1:00:00 AM,59.307176,4.989572
13342,NOR,59.341917,5.799578,11/28/2007 1:00:00 AM,59.241917,5.049578
11447,NOR,59.26086,5.413996,11/28/2007 1:00:00 AM,59.26086,4.663996
11468,NOR,59.315342,5.211312,11/28/2007 1:00:00 AM,59.315342,4.411312
11471,NOR,59.282573,5.19739,11/28/2007 1:00:00 AM,59.282573,4.37739
11937,NOR,59.192437,5.974726,11/28/2007 1:00:00 AM,59.192437,5.074726
14797,NOR,68.376274,15.741656,11/29/2007 1:00:00 AM,68.576274,14.991656
13604,NOR,70.617984,27.167392,11/30/2007 1:00:00 AM,71.117984,27.417392
11794,NOR,61.957325,5.154767,11/30/2007 1:00:00 AM,61.957325,4.354767
13603,NOR,70.688859,27.116504,11/30/2007 1:00:00 AM,71.188859,27.366504
12104,NOR,59.992944,5.85346,12/5/2007 1:00:00 AM,59.992944,4.95346
12465,NOR,63.128205,8.240523,12/6/2007 1:00:00 AM,63.153205,7.490523
12848,NOR,62.991413,7.353839,12/6/2007 1:00:00 AM,62.991413,6.603839
21695,NOR,63.470996,8.713051,12/7/2007 1:00:00 AM,63.545996,7.613051
12581,NOR,64.418745,10.789522,12/7/2007 1:00:00 AM,64.49,10
12580,NOR,64.409678,10.794157,12/7/2007 1:00:00 AM,64.49,10
12621,NOR,64.540714,10.945413,12/7/2007 1:00:00 AM,64.540714,10.195413
12419,NOR,63.807555,8.719787,12/7/2007 1:00:00 AM,63.857555,7.969787
17038,NOR,63.669002,8.57769,12/7/2007 1:00:00 AM,63.644002,7.82769
12433,NOR,63.866395,8.562522,12/7/2007 1:00:00 AM,63.866395,7.812522
10259,NOR,64.598258,10.92625,12/7/2007 1:00:00 AM,64.598258,10.17625
11073,NOR,66.660251,13.411989,12/10/2007 1:00:00 AM,66.685251,12.511989
11075,NOR,66.532829,13.325581,12/12/2007 1:00:00 AM,66.532829,12.475581
14038,NOR,63.592369,9.143078,12/19/2007 1:00:00 AM,63.692369,8.043078
12352,NOR,63.430407,8.959823,12/19/2007 1:00:00 AM,63.530407,7.759823
13728,NOR,63.534897,9.174968,12/19/2007 1:00:00 AM,63.634897,8.074968
12990,NOR,63.63068,8.666875,12/19/2007 1:00:00 AM,63.63068,7.916875
19776,NOR,63.618975,8.604903,12/19/2007 1:00:00 AM,63.618975,7.854903
12618,NOR,64.07082,10.01462,1/7/2008 1:00:00 AM,64.07082,9.11462
10344,NOR,63.755955,8.402077,1/7/2008 1:00:00 AM,63.755955,7.652077
12786,NOR,63.6716,9.440638,1/7/2008 1:00:00 AM,63.6716,8.690638
12810,NOR,64.02267,10.013655,1/7/2008 1:00:00 AM,64.02267,9.013655
12805,NOR,64.0211,9.954348,1/7/2008 1:00:00 AM,64.0211,9.204348
12393,NOR,63.765917,8.446567,1/7/2008 1:00:00 AM,63.765917,7.696567
13072,NOR,63.772373,8.497117,1/7/2008 1:00:00 AM,63.772373,7.747117
11323,NOR,67.77138,15.267666,1/22/2008 1:00:00 AM,67.7,14.5
11314,NOR,67.70551,15.446436,1/22/2008 1:00:00 AM,67.7,14.5
17236,NOR,66.515228,12.840846,1/24/2008 1:00:00 AM,66.515228,12.090846
17237,NOR,66.516865,12.829455,1/24/2008 1:00:00 AM,66.516865,12.079455
13745,NOR,64.684125,11.242935,2/6/2008 1:00:00 AM,64.684125,10.492935
22135,NOR,59.677675,5.538346,2/18/2008 1:00:00 AM,59.677675,4.788346
12843,NOR,62.607435,7.301095,2/21/2008 1:00:00 AM,62.732435,6.301095
10549,NOR,68.859478,17.144501,3/7/2008 1:00:00 AM,69.609478,16.394501
19499,NOR,64.810487,10.755682,4/2/2008 2:00:00 AM,64.810487,10.005682
13480,NOR,60.032403,5.459946,4/2/2008 2:00:00 AM,60.032403,4.709946
12684,NOR,64.902968,11.327802,4/3/2008 2:00:00 AM,64.902968,10.577802
13609,NOR,61.024638,5.460944,4/17/2008 2:00:00 AM,61.08,4.51
25335,NOR,68.605286,15.385653,4/17/2008 2:00:00 AM,68.855286,14.535653
12189,NOR,61.020978,5.492835,4/17/2008 2:00:00 AM,61.08,4.51
10102,NOR,59.404643,5.684373,4/21/2008 2:00:00 AM,59.354643,5.134373
