Site.ID,Location,Lat,Long,Date.Registered,Producing.in.Last.3.Years,AdjustedLat,AdjustedLong
FS0960,SCOT,60.67268198,-0.933052842,16-Jun-95,Yes,60.67268198,-0.933052842
FS0964,SCOT,56.64370582,-6.092402625,27-Jun-95,Yes,56.64370582,-7.092402625
FS0805,SCOT,56.18185822,-5.588379572,06-Jul-95,Yes,56.18185822,-6.588379572
FS0629,SCOT,56.21333534,-5.58809638,06-Jul-95,Yes,56.21333534,-5.58809638
FS0859,SCOT,56.22693127,-5.615192959,06-Jul-95,Yes,56.22693127,-6.615192959
FS0856,SCOT,56.20775592,-5.685982412,23-Jul-95,Yes,56.20775592,-6.685982412
FS0991,SCOT,60.13271432,-1.287197793,05-Mar-96,Yes,60.13271432,-1.487197793
FS0993,SCOT,58.88951592,-3.237071727,20-Mar-96,Yes,58.88951592,-3.037071727
FS0998,SCOT,58.19891611,-6.919083649,16-Jul-96,Yes,58.19891611,-7.819083649
FS0999,SCOT,60.41490923,-1.175727444,15-Aug-96,Yes,60.41490923,-0.975727444
FS1010,SCOT,55.71491351,-5.719015203,04-Dec-96,Yes,55.71491351,-5.719015203
FS1017,SCOT,58.83977063,-3.178119811,19-Feb-97,Yes,58.83977063,-2.478119811
FS1018,SCOT,60.52688996,-1.482605378,19-Mar-97,Yes,60.52688996,-1.682605378
FS1019,SCOT,55.96172342,-5.425301449,19-Mar-97,Yes,55.96172342,-5.425301449
FS1020,SCOT,59.13362981,-2.936567925,08-May-97,Yes,59.13362981,-2.736567925
FS1023,SCOT,58.9009361,-3.263515873,19-Sep-97,Yes,58.9009361,-3.063515873
FS1024,SCOT,58.91570166,-3.123402193,19-Sep-97,Yes,58.91570166,-3.123402193
FS1027,SCOT,60.43542082,-1.153406636,31-Oct-97,Yes,60.43542082,-1.153406636
FS1033,SCOT,58.11702626,-6.430131412,31-Jan-98,Yes,58.11702626,-6.230131412
FS1042,SCOT,57.93179828,-6.679472064,12-Jun-98,Yes,57.93179828,-7.679472064
FS1043,SCOT,60.49243129,-1.08458126,08-Jul-98,Yes,60.49243129,-1.08458126
FS1045,SCOT,60.44418651,-1.12046727,26-Aug-98,Yes,60.44418651,-1.12046727
FS1047,SCOT,56.52261893,-5.363573804,21-Oct-98,Yes,56.52261893,-6.363573804
FS1053,SCOT,60.21008977,-1.52188103,03-Feb-99,Yes,60.21008977,-1.72188103
FS1056,SCOT,55.90629209,-5.073114647,09-Mar-99,Yes,55.90629209,-5.073114647
FS1057,SCOT,60.66892959,-0.913046846,16-Mar-99,Yes,60.66892959,-0.713046846
FS1076,SCOT,60.42361001,-1.131919779,11-Mar-00,Yes,60.42361001,-1.131919779
FS1080,SCOT,59.31061419,-2.927379267,07-Jun-00,Yes,59.31061419,-2.727379267
FS1083,SCOT,57.65317071,-7.069722329,07-Sep-00,Yes,57.65317071,-6.969722329
FS1084,SCOT,57.83635929,-5.64198314,11-Oct-00,Yes,57.83635929,-5.84198314
FS1091,SCOT,58.2238986,-6.782729461,29-Nov-01,Yes,58.2238986,-7.782729461
FS1093,SCOT,60.04753564,-1.310578968,17-Apr-02,Yes,60.04753564,-1.510578968
FS1094,SCOT,56.68019197,-5.792503862,25-May-02,Yes,56.68019197,-6.792503862
FS1099,SCOT,60.23792583,-1.160311186,23-Oct-02,Yes,60.23792583,-1.160311186
FS1100,SCOT,55.42267035,-5.748383151,28-Dec-02,Yes,55.42267035,-6.748383151
FS1102,SCOT,60.75899116,-0.838430343,05-Mar-03,Yes,60.75899116,-0.638430343
FS1103,SCOT,58.20347495,-6.894152648,06-Mar-03,Yes,58.20347495,-7.794152648
FS1115,SCOT,60.47656355,-1.470673087,16-Jul-04,Yes,60.47656355,-1.670673087
FS1114,SCOT,60.46575362,-1.4617568,16-Jul-04,Yes,60.46575362,-1.6617568
FS1118,SCOT,57.96706476,-6.723008225,14-Aug-04,Yes,57.96706476,-7.723008225
FS1121,SCOT,60.32826947,-1.107288795,19-Apr-05,Yes,60.32826947,-0.907288795
FS1122,SCOT,57.66706049,-7.059912122,13-May-05,Yes,57.66706049,-6.959912122
FS1144,SCOT,60.4341904,-1.102569799,02-Mar-06,Yes,60.4341904,-1.102569799
FS1176,SCOT,55.61522462,-5.469660989,22-Mar-06,Yes,55.61522462,-6.469660989
FS1175,SCOT,57.49411811,-6.693384902,22-Mar-06,Yes,57.49411811,-7.693384902
FS1198,SCOT,58.87228209,-3.158413732,02-Aug-06,Yes,58.87228209,-3.158413732
FS1209,SCOT,59.3302666,-2.941974787,02-Nov-06,Yes,59.3302666,-2.941974787
FS1210,SCOT,59.32686295,-2.91552083,02-Nov-06,Yes,59.32686295,-2.91552083
FS1233,SCOT,58.25061684,-6.837525368,27-Apr-07,Yes,58.25061684,-6.837525368
FS1255,SCOT,57.44027079,-7.237065335,05-Oct-07,Yes,57.44027079,-7.137065335
FS1254,SCOT,57.55635079,-7.171731436,05-Oct-07,Yes,57.55635079,-7.071731436
FS1256,SCOT,57.84919088,-6.748024314,05-Oct-07,Yes,57.84919088,-6.748024314
FS1259,SCOT,57.19729672,-7.25889362,09-Feb-08,Yes,57.19729672,-7.15889362
FS1260,SCOT,57.70451817,-7.023130093,15-Feb-08,Yes,57.70451817,-6.923130093
FS1261,SCOT,57.00575534,-7.34061154,22-Feb-08,Yes,57.00575534,-7.34061154
FS1262,SCOT,57.58380181,-5.732174738,03-May-08,Yes,57.58380181,-5.932174738
FS1263,SCOT,57.87858908,-6.731643238,18-Jun-08,Yes,57.87858908,-7.731643238
FS1267,SCOT,56.4994421,-6.289839037,11-Nov-08,Yes,56.4994421,-7.289839037
FS1274,SCOT,57.3604614,-5.714434289,04-Aug-09,Yes,57.3604614,-5.714434289
FS1275,SCOT,60.62744292,-0.890683369,11-Sep-09,Yes,60.62744292,-0.690683369
FS1277,SCOT,57.83518329,-6.737744978,11-Sep-09,Yes,57.83518329,-6.737744978
FS1278,SCOT,60.3441965,-1.382233953,16-Sep-09,Yes,60.3441965,-1.582233953
FS1279,SCOT,60.62213125,-1.015125679,24-Sep-09,Yes,60.62213125,-0.815125679
FS1280,SCOT,57.36890737,-7.265171714,30-Sep-09,Yes,57.36890737,-7.265171714
FS1281,SCOT,55.92778461,-5.07641825,03-Oct-09,Yes,55.92778461,-5.07641825
FS1282,SCOT,57.41604915,-7.191907053,22-Dec-09,Yes,57.41604915,-7.191907053
FS1286,SCOT,56.84388879,-6.211076886,11-May-10,Yes,56.84388879,-6.211076886
FS1287,SCOT,57.47586546,-6.627587639,27-May-10,Yes,57.47586546,-7.627587639
FS1290,SCOT,56.20701661,-5.619769287,16-Sep-10,Yes,56.20701661,-6.619769287
FS1291,SCOT,58.00063343,-6.46653719,04-Nov-10,Yes,58.00063343,-6.26653719
FS1293,SCOT,57.82465547,-6.77851144,25-Nov-10,Yes,57.82465547,-6.77851144
FS1294,SCOT,59.11106801,-2.95166858,11-Jan-11,Yes,59.11106801,-2.95166858
FS1296,SCOT,56.09487031,-6.127220163,08-Apr-11,Yes,56.09487031,-6.127220163
FS1297,SCOT,58.12112031,-6.389847678,10-May-11,Yes,58.12112031,-6.389847678
FS1304,SCOT,57.44446956,-7.200950422,14-Feb-12,Yes,57.44446956,-7.200950422
FS1305,SCOT,58.90630553,-2.951238861,01-Mar-12,Yes,58.90630553,-2.951238861
FS1306,SCOT,55.4321824,-5.701842295,28-Jun-12,Yes,55.4321824,-6.701842295
